Güney Amerika
Libertadores Kupası
	Türü	Tarih		Ev	Sonuç			Deplasman	Penaltı	
F	3. Hafta	30 Nisan 2026	MS	Cerro Porteno	1	-	1	Palmeiras		
B	3. Hafta	30 Nisan 2026	MS	U. Deportes	4	-	2	Nacional		
C	3. Hafta	01 Mayıs 2026	MS	Bolivar	2	-	0	Fluminense		
C	3. Hafta	01 Mayıs 2026	MS	Ind. Mendoza	4	-	1	Dep. La Guaira		
E	3. Hafta	01 Mayıs 2026	MS	Corinthians	2	-	0	CA Penarol		
A	3. Hafta	01 Mayıs 2026	MS	Medellin	1	-	0	Cusco		
F	4. Hafta	06 Mayıs 2026	MS	S. Cristal	0	-	2	Palmeiras		
H	4. Hafta	06 Mayıs 2026	MS	Rosario C.	1	-	0	Libertad		
D	4. Hafta	06 Mayıs 2026	MS	Barcelona SC	1	-	0	Boca Juniors		
H	4. Hafta	06 Mayıs 2026	MS	UCV	2	-	0	Ind. del Valle		
G	4. Hafta	06 Mayıs 2026	MS	Always Ready	4	-	0	Atl Lanus		
A	4. Hafta	07 Mayıs 2026	MS	Cusco	1	-	1	Estudiantes		
C	4. Hafta	07 Mayıs 2026	MS	Dep. La Guaira	1	-	1	Bolivar		
C	4. Hafta	07 Mayıs 2026	MS	Ind. Mendoza	1	-	1	Fluminense		
E	4. Hafta	07 Mayıs 2026	MS	Santa Fe	1	-	1	Corinthians		
B	4. Hafta	07 Mayıs 2026	MS	Dep. Tolima	3	-	0	Nacional		
D	4. Hafta	07 Mayıs 2026	MS	U. Catolica	0	-	0	Cruzeiro MG		
E	4. Hafta	08 Mayıs 2026	MS	Platense	1	-	1	CA Penarol		
G	4. Hafta	08 Mayıs 2026	MS	Mirassol SP	2	-	0	LDU Quito		
B	4. Hafta	08 Mayıs 2026	MS	Coquimbo U.	2	-	1	U. Deportes		
A	4. Hafta	08 Mayıs 2026	HÜK	Medellin	0	-	3	Flamengo		
F	4. Hafta	08 Mayıs 2026	MS	Atl. Junior	0	-	1	Cerro Porteno		
B	5. Hafta	20 Mayıs 2026	MS	Coquimbo U.	3	-	0	Dep. Tolima		
C	5. Hafta	20 Mayıs 2026	MS	Fluminense	2	-	1	Bolivar		
H	5. Hafta	20 Mayıs 2026	MS	Rosario C.	4	-	0	UCV		
E	5. Hafta	20 Mayıs 2026	MS	Santa Fe	2	-	1	Platense		
G	5. Hafta	20 Mayıs 2026	MS	Always Ready	1	-	2	Mirassol SP		
D	5. Hafta	20 Mayıs 2026	MS	Boca Juniors	1	-	1	Cruzeiro MG		
H	5. Hafta	20 Mayıs 2026	MS	Ind. del Valle	4	-	1	Libertad		
B	5. Hafta	21 Mayıs 2026	MS	Nacional	0	-	0	U. Deportes		
A	5. Hafta	21 Mayıs 2026	MS	Flamengo	1	-	0	Estudiantes		
F	5. Hafta	21 Mayıs 2026	MS	Palmeiras	0	-	1	Cerro Porteno		
G	5. Hafta	21 Mayıs 2026	MS	LDU Quito	2	-	0	Atl Lanus		
A	5. Hafta	21 Mayıs 2026	MS	Cusco	2	-	3	Medellin		
F	5. Hafta	21 Mayıs 2026	MS	Atl. Junior	3	-	2	S. Cristal		
C	5. Hafta	22 Mayıs 2026	MS	Dep. La Guaira	2	-	4	Ind. Mendoza		
D	5. Hafta	22 Mayıs 2026	MS	U. Catolica	2	-	0	Barcelona SC		
E	5. Hafta	22 Mayıs 2026	MS	CA Penarol	1	-	1	Corinthians		
G	6. Hafta	27 Mayıs 2026	MS	LDU Quito	3	-	2	Always Ready		
G	6. Hafta	27 Mayıs 2026	MS	Atl Lanus	1	-	0	Mirassol SP		
A	6. Hafta	27 Mayıs 2026	MS	Flamengo	3	-	0	Cusco		
A	6. Hafta	27 Mayıs 2026	MS	Estudiantes	1	-	0	Medellin		
B	6. Hafta	27 Mayıs 2026	MS	Nacional	1	-	0	Coquimbo U.		
B	6. Hafta	27 Mayıs 2026	MS	U. Deportes	0	-	0	Dep. Tolima		
H	6. Hafta	28 Mayıs 2026	MS	Ind. del Valle	1	-	0	Rosario C.		
H	6. Hafta	28 Mayıs 2026	MS	Libertad	0	-	1	UCV		
C	6. Hafta	28 Mayıs 2026	MS	Fluminense	3	-	1	Dep. La Guaira		
C	6. Hafta	28 Mayıs 2026	MS	Bolivar	1	-	3	Ind. Mendoza		
E	6. Hafta	28 Mayıs 2026	MS	CA Penarol	0	-	1	Santa Fe		
E	6. Hafta	28 Mayıs 2026	MS	Corinthians	0	-	2	Platense		
F	6. Hafta	29 Mayıs 2026	MS	Palmeiras	4	-	1	Atl. Junior		
F	6. Hafta	29 Mayıs 2026	MS	Cerro Porteno	2	-	0	S. Cristal		
D	6. Hafta	29 Mayıs 2026	MS	Boca Juniors	0	-	1	U. Catolica		
D	6. Hafta	29 Mayıs 2026	MS	Cruzeiro MG	4	-	0	Barcelona SC
